Year,Skill type,Value
2017,Copy or move a file or folder,90.1
2017,Use copy and paste tools,98.5
2017,"Send emails with attachments (document, image, video)",96.4
2017,Use basic arithmetic formulas in Data tables,87.4
2017,"Connecting and installing new devices (camera, printer)",75.8
2017,"Finding, download, and install software",87.0
2017,"Preparation of electronic presentations by presentations software (including Text, images, audio, video, or graphics)",100.0
2017,Transfer files between  computer and other devices,98.7
2017,Writing a computer program using a specialized programming language,91.0
2018,Copy or move a file or folder,88.5
2018,Use copy and paste tools,98.0
2018,"Send emails with attachments (document, image, video)",96.6
2018,Use basic arithmetic formulas in Data tables,80.2
2018,"Connecting and installing new devices (camera, printer)",79.6
2018,"Finding, download, and install software",89.2
2018,"Preparation of electronic presentations by presentations software (including Text, images, audio, video, or graphics)",100.0
2018,Transfer files between  computer and other devices,98.3
2018,Writing a computer program using a specialized programming language,91.6
