Year,Sub-indicators,Value
2012,Carbon dioxide emissions from fuel combustion,22.671
2013,Carbon dioxide emissions from fuel combustion,22.344
2014,Carbon dioxide emissions from fuel combustion,24.001
2015,Carbon dioxide emissions from fuel combustion,23.785
2016,Carbon dioxide emissions from fuel combustion,23.863
2012,Carbon dioxide emissions per unit of GDP,0.32
2013,Carbon dioxide emissions per unit of GDP,0.31
2014,Carbon dioxide emissions per unit of GDP,0.32
2015,Carbon dioxide emissions per unit of GDP,0.31
2016,Carbon dioxide emissions per unit of GDP,0.31
2012,Carbon dioxide emissions per unit of manufacturing value added,0.47
2013,Carbon dioxide emissions per unit of manufacturing value added,0.41
2014,Carbon dioxide emissions per unit of manufacturing value added,0.5
2015,Carbon dioxide emissions per unit of manufacturing value added,0.38
2016,Carbon dioxide emissions per unit of manufacturing value added,0.55
